ticker,momentum,price,stop_at,cap,inv_vola_norm,inv_vola_norm_top20
CAR,2734.204,312.65,199.309,9404783.31,0.008,0.025
LEU,1924.551,60.69,48.822,477975.95,0.015,0.046
CCXI,1462.562,38.88,23.595,1794203.98,0.008,0.023
PTSI,1106.449,74.15,64.554,52350.59,0.024,0.071
UPST,973.409,207.6,127.985,36575744.28,0.013,0.039
AMTX,816.089,18.54,13.751,385526.39,0.013,0.038
GSKY,788.662,11.8,9.572,361507.24,0.016,0.048
VRTV,752.66,133.3,110.168,417078.71,0.018,0.054
DOCN,744.9,101.53,,11605542.11,0.018,0.054
ISEE,738.604,15.8,12.089,673053.4,0.013,0.039
LC,738.329,38.07,28.937,3339357.28,0.014,0.041
TVTX,735.082,30.3,26.364,393071.18,0.024,0.071
ENTA,671.547,86.89,76.031,627589.35,0.025,0.074
AMBA,642.794,181.21,155.908,2976345.06,0.022,0.066
UEC,609.453,4.32,3.358,1635355.14,0.015,0.045
ASAN,603.235,106.8,88.579,16931323.25,0.018,0.055
MARA,576.938,52.39,37.936,25627172.72,0.012,0.035
SITM,570.857,298.56,242.852,4329681.69,0.017,0.05
TA,567.824,56.39,48.255,113719.73,0.021,0.064
RSI,556.212,18.93,16.115,1238172.89,0.021,0.063
WIRE,479.196,147.9,135.454,757315.82,0.036,
ORMP,447.223,18.92,14.778,1436971.46,0.014,
KZR,428.256,13.24,10.627,1814740.29,0.016,
ARCB,428.164,109.85,96.289,999019.26,0.025,
SI,413.654,214.02,164.913,6734121.54,0.015,
UUUU,411.899,9.4,7.425,1592364.06,0.016,
DVAX,407.392,16.39,13.016,1030600.47,0.015,
GDYN,375.55,38.23,31.484,389491.6,0.017,
TBK,367.925,133.63,120.944,370679.19,0.037,
NET,366.333,197.39,170.755,26202528.35,0.023,
BVH,358.725,32.17,28.303,86203.01,0.029,
HRI,354.376,190.92,168.998,978067.2,0.028,
NOTV,350.259,55.39,41.896,390238.1,0.013,
YELL,338.588,13.84,11.177,468459.9,0.016,
M,336.898,32.14,26.67,52185552.19,0.019,
RYI,335.873,27.14,23.423,103771.1,0.023,
FULC,330.031,15.21,9.01,393979.86,0.007,
ATLC,329.887,64.8,54.451,249004.32,0.02,
ASLE,315.239,17.63,15.412,193593.27,0.026,
BILL,302.952,298.76,251.417,19589104.48,0.02,
EYPT,301.147,16.71,13.768,490180.24,0.018,
APYX,301.121,15.83,13.77,62953.13,0.024,
DDOG,300.923,180.34,159.093,21090929.5,0.028,
GOSS,295.873,11.25,9.899,112777.47,0.027,
ASPN,294.987,61.67,51.438,561148.56,0.019,
ASIX,292.165,48.17,43.451,292347.71,0.032,
PRFT,285.248,139.49,128.389,1210948.58,0.039,
CRC,281.858,42.58,37.512,749222.48,0.026,
DMRC,279.801,42.66,35.54,112202.04,0.019,
CDXS,279.616,36.55,30.803,1114739.36,0.021,
